text,user
RT @DebtTrut: ******* Today should be the day President Biden grants ****REALITY WINNER****  CLEMENCY.  https://t.co/fiY6igPj8J,ladyoldandgray
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",Kodex51709114
"RT @SocialismS4A: You cannot separate white supremacy, fascism, and imperialist aggression from capitalism. They are fundamental to how cap…",AlienCloutX
"@ArrogantNBlack @BlackVotersMtr @MsLaToshaBrown No, but we have to acknowledge that without Congress doing their jo… https://t.co/u4BXsIzRo3",TexasGurl365
"@NCFMCarolinas These guys who wrote our Constitution really knew their stuff, didn’t they? Jefferson’s statement ri… https://t.co/vXUrQeLBkt",CharlesRobinLee
RT @Chicago1Ray: There would be no threat of war over Ukraine if votes weren't switched from Trump to Biden around (3AM) election night,BGbfranck1
"RT @DonaldJTrumpJr: Liz Cheney stands with Pelosi and Biden, not Wyoming.

@HagemanforWY will defend Wyoming against Pelosi, Biden and the…",greg4_trump
"But your friends like Bill Clinton did . 26 times to pedophile island , And FJB is not only a known child molester… https://t.co/e1nEgnDhQR",TommyBackwater
"@grantjr67 @Supes15 @Timcast And Obama, Clinton, biden, the vast majority of democrat senators and congress.",bluntman_1138
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",MelanieHatting1
"RT @joncoopertweets: When history looks back on President Biden's accomplishments, I think he will be remembered as one of the best. Do you…",pazurik_susi
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,J_Millly52
RT @TheFirstonTV: The Guatemalan President says that he has not met with Biden admin about immigration since a meeting with Kamala in June.…,Keepyourviews
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",j_spals
RT @OccupyDemocrats: BREAKING: A federal judge denies Trump's lying lapdog Sean Spicer's attempt to force his way back onto the board of th…,charluv2011
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",tickelsurfancy
RT @1stKiersten: Jason Johnson Calls for Federal Takeover of Texas Elections https://t.co/bqsjn2Fq7U,johnnyt54
"There appeared to be no immediate breakthroughs to ease tensions on the Ukraine question, as the U.S. emphasized a… https://t.co/e3InBV6clv",Livableworld
RT @StellaMoris1: #DemocracySummit: Hosted by the country that plotted to kill #Assange after he published true information which embarrass…,Naerges2
@MyInfo75815757 @WhiteHouse @POTUS President Biden doesn't know how to talk to Putin. He loses to him. Putin today… https://t.co/XzQ0lRUGcB,mariodemar3
"RT @DNCWarRoom: .@POTUS and @VP are laser focused on working toward building a better America, and Democrats will make sure every voter in…",HowyofWI
"RT @DanielTurnerPTF: In 2019, the United States became a net exporter of energy under Donald J. Trump.

In 2021, the United States began be…",trodello
RT @WaitingOnBiden: It's time to face reality - Biden has somehow been even worse than Trump by nearly every measurable metric: https://t.c…,queer_rogue
"@KimBledsoe14 @PamKeithFL What she is doing is making comments on things we just don't know about yet.

And if Bide… https://t.co/0fIWHlYUQ6",Wikweko
RT @JakeEvansGA: Friendly reminder that Joe Biden shutdown the American Keystone XL Pipeline and approved the Russian Nord Stream 2 Pipelin…,Clutthewindow
"RT @BrunoRguezP: As happened with Trump's attempted coups in Venezuela, anti Cuban sectors led President Biden to failed interference, dest…",BaroOneida
"RT @GregAbbott_TX: BREAKING:

A federal court in Georgia has entered a nationwide injunction against the federal-contractor vaccine mandate…",FireballFreedom
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,dbethea97
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,ericsteffen
"RT @Jim_Jordan: President Obama gave Ukraine blankets. 

President Trump gave Ukraine tank-busting Javelin missiles. 

President Biden wave…",eugene_drama
"RT @StrikeDebt: Good morning. Biden's law degree cost about $1,500.",capitanbarbosa_
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",GuneevSharma
"RT @JDCocchiarella: Republicans will do anything to hurt President Biden politically.

The GOP is too radical to govern.",JimmyRhythm
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",oldgit94877217
Biden Boom 👍🏾👌🏾😎 https://t.co/fcSNCTvTp7,LBug1957
"RT @CBSNews: Pres. Biden spoke to reporters Wednesday about his call with Russia’s Vladimir Putin: “I made it very clear: If in fact, he in…",mattrodierphot1
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",Dani30604241
"RT @USCRIdc: The Biden administration’s decision to not only reinstate, but to broaden Migrant Protection Protocols, is a repudiation of U.…",kuliokugs
Shouldn't AOC be down on the border crying about the Biden cages loaded with immigrant children like she did with T… https://t.co/ZiltocTrDi,JosephSpurvey
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",Sonorandesertra
You should stop running these polls because the Democrats are going to be even more determined to cheat - Unpopular… https://t.co/JCFh9Aa8ji,TRUTHdiesNOW
@EynoufElizabeth Those of want #Biden to run again bought #HunterBiden art work 🙄,LoriRennie
"RT @SteveGuest: WATCH: Sen. Ted Cruz on the Biden nominee to be US attorney for Massachusetts: ""[Rachael] Rollins is part of a web of left…",SnewsHound
RT @joncoopertweets: I'm sorry but I am STILL angry that nobody from the Trump campaign reached out to the Biden campaign to WARN them that…,portillovero651
RT @OccupyDemocrats: BREAKING: A federal judge denies Trump's lying lapdog Sean Spicer's attempt to force his way back onto the board of th…,JusPlainTalk101
"RT @ChuckRossDC: I knew Kamala Harris weighed in on Jussie, but didn't realize Biden did https://t.co/q9OsRUR46A",WonkyWombat32
"RT @RNCResearch: Biden’s Defense Secretary Lloyd Austin: “If Russia invades Ukraine, I think Russia should be concerned about its reputatio…",MaeBrightwell
"RT @Jim_Jordan: President Obama gave Ukraine blankets. 

President Trump gave Ukraine tank-busting Javelin missiles. 

President Biden wave…",SharkeyTim
RT @JonathanTurley: All of these mandates are on course for a showdown in the Supreme Court where three justices have already expressed ske…,MtRushmore2016
@keepitwilder @DorisMele @Una_Alta_Volta @OldPrague @Wahboom @thedude77 @SlaterBrowne @Gloriaoldsurfer… https://t.co/yw39xtW0xv,Cavitation19
"RT @DanielTurnerPTF: In 2019, the United States became a net exporter of energy under Donald J. Trump.

In 2021, the United States began be…",JPDOFACEP
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",ChristyIce316
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,Esspressobeans
RT @PolitiFact: A photo of Jeffrey Epstein and Joe Biden that’s being shared online is not authentic — it was created using two separate ph…,JonathanMendel1
RT @mtracey: Biden says US ground troops to Ukraine is “off the table”? I’m outraged. I hate when completely insane ideas are taken off the…,pander_trash
@responsiblerob thought this was Biden for a second,AlsikkanTV
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",hstace12
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",You_R_A_Slave
"RT @BenjaminNorton: Biden keeps Trump's crushing sanctions yet blames Iran for nuclear deal impasse

Important analysis by @s_m_marandi, wi…",mackette52
"RT @pilitobar46: .@POTUS signed EO to use gov't scale &amp; procurement power to achieve 5 ambitious goals:
✅100% carbon pollution-free electri…",KatrinaWTE
Executive order directs federal agencies to make all of their vehicle purchases zero-emission units by 2035 https://t.co/jFT6M4bIrn,WSJPolitics
"""It deployed a group of armed forces, heavy weapons, using helicopters and combat aircraft,"" Belarusian Security Co… https://t.co/SSmgGSwsKX",dcexaminer
"RT @StrikeDebt: Good morning. Biden's law degree cost about $1,500.",giornzo
"RT @WalshFreedom: To all Republicans complaining that Biden isn't tough enough with Putin: 

Putin led Trump around on a leash for four yea…",JoyceinReno
"RT @ZoeTillman: Another unsealed Jan. 6 case: Tim Boughner of Michigan, charged with using chemical spray against cops. Facebook posts, per…",gzr3625
"RT @RandPaul: The default solution for big government types like Biden and Fauci is always more rules, more regulation and less of your lib…",_YvonneBurton
"Tucker Carlson sided with Putin over Ukraine, saying Biden is wrong to try and stop a Russian invasion

https://t.co/tJRTT9YXaP",ScottDavid580
"@nicknak2016 @904ohms @fake_biden Well, if certainly good that he's not destroying the country like Biden is. And I… https://t.co/VXxv5zJtX7",locomotivebrain
"RT @WalshFreedom: To all Republicans complaining that Biden isn't tough enough with Putin: 

Putin led Trump around on a leash for four yea…",Ajohms1956
"Love that @WhiteHouse uses open source software (@WordPress) and is serious about accessibility, but would really l… https://t.co/5kUePw9kH8",lukefretwell
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,patleeene
RT @BillPascrell: Say it with me: Biden Boom https://t.co/bJnA4YnWaB,GLeeRoberts1
RT @1stKiersten: Jason Johnson Calls for Federal Takeover of Texas Elections https://t.co/bqsjn2Fq7U,larriandJ
"RT @RandPaul: The default solution for big government types like Biden and Fauci is always more rules, more regulation and less of your lib…",RolandAlbertFra
"2/2 Mr. McDowell presented the first-ever US Strategy on Countering Corruption, that the Biden-Harris Administratio… https://t.co/N00Qj5SE0R",GjonajEtilda
"RT @mjs_DC: Biden has visited other states that Trump carried, too—apparently Missouri's attorney general doesn't know how to use Google. h…",1SnoozyQ
@GOP The smart people of Missouri know that Pres Biden works hard for the American people and is busy cleaning up t… https://t.co/AIR6DIl6xc,Steelers7890fan
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",PaigeMHarrison2
RT @ChuckRossDC: Biden has helped Chinese energy companies seeking other oil deals in Africa. He was paid $1 million to represent CEFC's Pa…,Puanani01382620
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,crutchfoot
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",starrshine7
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",Mikeybjr1
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",billkron
"we are all dying my dear, no worries I am sure Biden will win this election just like the last one. https://t.co/k14KFYebvZ",theleveloftime
"RT @RandPaul: So it turns out communism may be a bridge to far for some democrats

https://t.co/YnBfu3jLoe",pattiannusa
"@RepAdamSchiff @Moehoffenstein Great idea let's do it right now investigate Biden and his family ,leaks to the medi… https://t.co/69iwMcXGIn",MeR8dr
RT @PN_1984: Biden doesn’t have the right to decide what medical treatments you receive. Nor does your state Governor. Would you have gone…,NiomiJA
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",AMERICA__reborn
